小区,户型,面积,朝向,楼层,楼高,房龄,楼型,月份,单价,总价,其他
旭辉奥都,1室0厅,49,西,高楼层,(共19层),2008,板塔结合,2016.02,27551,135,距5号线立水桥南420米
北苑家园绣菊园,3室1厅,114,西 北,高楼层,(共25层),2001,塔楼,2016.02,28070,320,房本满两年
北苑家园清友园,3室2厅,121,东 北,高楼层,(共25层),2003,塔楼,2016.02,28099,340,房本满两年
北苑家园绣菊园,2室1厅,85,南 西,中楼层,(共25层),2000,塔楼,2016.02,28235,240,房本满两年
旭辉奥都,2室1厅,74,西北,中楼层,(共27层),2008,板塔结合,2016.02,28243,209,距5号线立水桥南329米
天怡家园,3室2厅,154,南 北,高楼层,(共20层),2006,塔楼,2016.02,28441,438,满五年唯一
旭辉奥都,1室0厅,49,东,中楼层,(共19层),2008,板塔结合,2016.02,28571,140,
旭辉奥都,1室0厅,48,西南,中楼层,(共26层),2008,塔楼,2016.02,28750,138,距5号线立水桥南492米
北苑家园清友园,3室2厅,128,东 南,低楼层,(共25层),2002,塔楼,2016.02,28750,368,满五年唯一
天畅园,3室2厅,166,西 北,中楼层,(共29层),2008,塔楼,2016.02,28915,480,房本满两年
朝来绿色家园广华居,3室2厅,149,东 北,低楼层,(共23层),2004,塔楼,2016.02,29395,438,满五年唯一
旭辉奥都,2室1厅,88,南,高楼层,(共27层),2008,板塔结合,2016.02,29579,260.3,距5号线立水桥南329米
北苑家园清友园,3室2厅,139,东 南 北,中楼层,(共25层),2002,塔楼,2016.02,29640,412,满五年唯一
北苑家园绣菊园,3室1厅,107,西 南 北,中楼层,(共25层),2000,塔楼,2016.02,29719,318,满五年唯一
北京青年城,4室2厅,154,南 西 北,高楼层,(共6层),2004,板楼,2016.02,29870,460,房本满两年
北苑家园绣菊园,3室1厅,114,西 北,高楼层,(共25层),2001,塔楼,2016.02,30000,342,满五年唯一
美立方,1室1厅,68,南,中楼层,(共13层),2011,板塔结合,2016.02,30147,205,距5号线立水桥南449米
美立方,1室0厅,37,西,中楼层,(共20层),2011,板塔结合,2016.02,30270,112,房本满两年
美立方,1室0厅,45,南,中楼层,(共13层),2011,板塔结合,2016.02,30444,137,房本满两年
北苑家园绣菊园,3室2厅,114,南 西 北,中楼层,(共25层),2001,塔楼,2016.02,30657,349.5,
旭辉奥都,2室1厅,88,南 北,中楼层,(共27层),2008,板塔结合,2016.02,30681,270,距5号线立水桥南366米
美立方,1室2厅,57,西 北,高楼层,(共20层),2011,板塔结合,2016.02,30701,175,距5号线立水桥南509米
黄金苑,2室1厅,78,东 西 北,高楼层,(共6层),1998,板楼,2016.02,30769,240,满五年唯一
美立方,1室0厅,45,南,中楼层,(共13层),2011,板塔结合,2016.02,30888,139,距5号线立水桥南449米
北苑家园绣菊园,2室1厅,102,西,低楼层,(共25层),2001,塔楼,2016.02,31372,320,满五年唯一
北苑家园茉藜园,2室2厅,117,东 南,高楼层,(共26层),2004,塔楼,2016.02,31452,368,
北苑家园莲葩园,2室2厅,126,东 南,高楼层,(共25层),2004,塔楼,2016.02,31666,399,满五年唯一
北苑家园绣菊园,3室1厅,152,南 北,低楼层,(共14层),2001,板楼,2016.02,31842,484,房本满两年
华发颐园,1室0厅,60,东,高楼层,(共19层),2007,板塔结合,2016.02,31866,191.2,房本满两年
旭辉奥都,2室1厅,89,南 北,中楼层,(共27层),2008,板塔结合,2016.02,31910,284,距5号线立水桥南366米
安外北苑2号院,3室1厅,83,南 北,高楼层,(共6层),1987,板楼,2016.02,32048,266,
北苑家园绣菊园,1室2厅,72,西,低楼层,(共25层),2000,塔楼,2016.02,32083,231,满五年唯一
北苑家园莲葩园,1室1厅,67,南 西,低楼层,(共25层),2004,塔楼,2016.02,32089,215,房本满两年
北苑家园绣菊园,2室1厅,77,南 西,高楼层,(共25层),2000,塔楼,2016.02,32207,248,房本满两年
北苑家园清友园,3室2厅,138,南 西北,低楼层,(共25层),2000,塔楼,2016.02,32246,445,满五年唯一
北苑家园绣菊园,1室1厅,68,南 北,低楼层,(共14层),2000,板塔结合,2016.02,32352,220,房本满两年
北苑家园茉藜园,2室2厅,89,南 西,低楼层,(共26层),2004,塔楼,2016.02,32359,288,房本满两年
北京青年城,3室2厅,148,南 北,低楼层,(共11层),2005,板楼,2016.02,32432,480,房本满两年
天朗园,2室1厅,103,东,低楼层,(共31层),2005,塔楼,2016.02,32524,335,房本满两年
北苑家园清友园,3室2厅,138,西 南,高楼层,(共25层),2000,塔楼,2016.02,32789,452.5,满五年唯一
北苑家园绣菊园,2室1厅,80,西南,高楼层,(共25层),2000,塔楼,2016.02,32875,263,满五年唯一
天怡家园,3室1厅,109,西 北,中楼层,(共20层),2005,塔楼,2016.02,32935,359,满五年唯一
天居园,1室0厅,44,东,低楼层,(共32层),2008,塔楼,2016.02,32954,145,房本满两年
北苑家园望春园,3室1厅,98,南 北,低楼层,(共25层),2008,板塔结合,2016.02,32959,323,满五年唯一
北苑家园绣菊园南区,2室2厅,97,南 西,高楼层,(共25层),2005,塔楼,2016.02,32989,320,房本满两年
北苑家园茉藜园,2室2厅,105,南 西 北,中楼层,(共26层),2004,塔楼,2016.02,33333,350,满五年唯一
北苑家园莲葩园,2室2厅,112,西 北,低楼层,(共25层),2004,塔楼,2016.02,33482,375,房本满两年
天畅园,2室1厅,86,东 北,高楼层,(共32层),2008,塔楼,2016.02,33720,290,
北苑家园绣菊园,1室1厅,68,南 北,高楼层,(共14层),2000,板塔结合,2016.02,33823,230,满五年唯一
北苑家园绣菊园,2室1厅,76,南 西,中楼层,(共25层),2000,塔楼,2016.02,33947,258,房本满两年
北苑家园绣菊园,1室2厅,72,西,低楼层,(共25层),2000,塔楼,2016.02,34027,245,满五年唯一
黄金苑,2室2厅,83,东 西,中楼层,(共6层),1998,板楼,2016.02,34096,283,满五年唯一
华发颐园,1室0厅,60,西,中楼层,(共19层),2007,板塔结合,2016.02,34166,205,满五年唯一
天居园,1室0厅,55,东 北,低楼层,(共32层),2008,塔楼,2016.02,34181,188,房本满两年
华发颐园,1室0厅,60,东,中楼层,(共19层),2007,板塔结合,2016.02,34250,205.5,满五年唯一
北苑家园紫绶园,2室1厅,84,南 北,低楼层,(共12层),1999,板楼,2016.02,34761,292,房本满两年
鑫兆丽园,3室2厅,128,南 北,中楼层,(共5层),2001,板楼,2016.02,34765,445,房本满两年
北苑家园清友园,1室1厅,79,西 南,中楼层,(共25层),2002,塔楼,2016.02,34810,275,房本满两年
大羊坊甲2号,1室1厅,51,南,高楼层,(共6层),1992,板楼,2016.02,34901,178,房本满两年
天居园,1室0厅,55,东北,低楼层,(共32层),2008,塔楼,2016.02,34909,192,房本满两年
鑫兆丽园,3室2厅,129,南 北,中楼层,(共11层),2001,板楼,2016.02,34961,451,房本满两年
北苑家园清友园,3室2厅,141,西 南,高楼层,(共25层),2001,塔楼,2016.02,35106,495,满五年唯一
北苑家园望春园,3室2厅,111,东 南 北,低楼层,(共25层),2008,塔楼,2016.02,35135,390,满五年唯一
北苑家园绣菊园南区,3室2厅,139,西南,高楼层,(共25层),2005,塔楼,2016.02,35251,490,
天居园,1室0厅,59,西,中楼层,(共32层),2008,塔楼,2016.02,35254,208,房本满两年
北苑家园清友园,3室2厅,127,东南,低楼层,(共25层),2003,塔楼,2016.02,35433,450,房本满两年
北苑家园茉藜园,1室1厅,66,南 西,高楼层,(共26层),2005,塔楼,2016.02,35606,235,
领地OFFICE,2室1厅,70,东 北,高楼层,(共11层),2005,板塔结合,2016.02,35857,251,
北苑家园绣菊园,2室1厅,83,西 南,中楼层,(共25层),2000,塔楼,2016.02,36024,299,满五年唯一
北苑家园望春园,2室2厅,99,东 北,中楼层,(共25层),2008,塔楼,2016.02,36161,358,满五年唯一
美立方,2室1厅,85,南,低楼层,(共17层),2011,板塔结合,2016.02,36235,308,房本满两年
华贸城,2室2厅,90,东 北,低楼层,(共28层),2011,板塔结合,2016.02,36333,327,房本满两年
北苑家园茉藜园,2室1厅,103,东 南,高楼层,(共26层),2005,塔楼,2016.02,36407,375,满五年唯一
新街坊,2室1厅,81,西北,中楼层,(共19层),2004,板塔结合,2016.02,36419,295,房本满两年
北苑家园茉藜园,3室1厅,122,东 西,低楼层,(共15层),2004,板塔结合,2016.02,36475,445,满五年唯一
领地OFFICE,1室1厅,61,北,低楼层,(共16层),2005,塔楼,2016.02,36524,222.8,房本满两年
北苑家园望春园,2室1厅,104,南 西 北,低楼层,(共25层),2008,塔楼,2016.02,36538,380,满五年唯一
城锦苑,2室2厅,92,南 北,低楼层,(共26层),2014,板楼,2016.02,36630,337,距5号线北苑路北810米
北苑家园望春园,2室1厅,99,南 西北,低楼层,(共25层),2008,塔楼,2016.02,36666,363,满五年唯一
北苑家园望春园,2室1厅,99,东 北,中楼层,(共25层),2008,塔楼,2016.02,36818,364.5,满五年唯一
北苑家园茉藜园,2室2厅,99,东 南,中楼层,(共26层),2005,塔楼,2016.02,36868,365,满五年唯一
北苑家园紫绶园,3室1厅,94,南,低楼层,(共25层),2000,塔楼,2016.02,36914,347,满五年唯一
北京青年城,2室2厅,111,南 北,高楼层,(共6层),2004,板楼,2016.02,36936,410,满五年唯一
北苑家园莲葩园,1室1厅,67,西 南,高楼层,(共25层),2004,塔楼,2016.02,37089,248.5,满五年唯一
北京青年城,2室1厅,103,南 北,低楼层,(共6层),2004,板楼,2016.02,37184,383,满五年唯一
华贸城,1室1厅,67,东,低楼层,(共28层),2011,板塔结合,2016.02,37313,250,房本满两年
北苑家园茉藜园,2室1厅,99,南 西,中楼层,(共26层),2005,塔楼,2016.02,37373,370,满五年唯一
北苑家园清友园,2室2厅,119,南 北,高楼层,(共14层),2002,板楼,2016.02,37394,445,满五年唯一
新街坊,3室2厅,112,西 北,低楼层,(共19层),2004,板塔结合,2016.02,37410,419,满五年唯一
天居园,1室0厅,59,西,中楼层,(共32层),2008,塔楼,2016.02,37457,221,满五年唯一
黄金苑,2室2厅,82,东 南 西,中楼层,(共6层),1998,板楼,2016.02,37560,308,满五年唯一
北苑家园绣菊园,1室1厅,62,南 北,中楼层,(共14层),2000,板塔结合,2016.02,37580,233,房本满两年
北苑家园清友园,2室2厅,94,南 西,中楼层,(共25层),2003,塔楼,2016.02,37765,355,
时代庄园,3室2厅,201,南 北,中楼层,(共5层),2003,,2016.02,37810,760,
北苑家园茉藜园,2室2厅,74,东 西,低楼层,(共15层),2004,板塔结合,2016.02,37837,280,满五年唯一
新街坊,1室0厅,43,西,中楼层,(共18层),2004,板塔结合,2016.02,37860,162.8,房本满两年
华贸城,1室0厅,55,南,高楼层,(共28层),2011,板塔结合,2016.02,38000,209,朝阳外国语分校
北苑家园茉藜园,2室2厅,89,东 西,中楼层,(共15层),2004,板塔结合,2016.02,38067,338.8,满五年唯一
拂林园,3室2厅,153,西 南 北,中楼层,(共14层),2000,板塔结合,2016.02,38366,587,房本满两年
北苑家园茉藜园,2室1厅,99,东 南,低楼层,(共26层),2005,塔楼,2016.02,38383,380,满五年唯一
北苑家园茉藜园,2室1厅,99,南 西,高楼层,(共26层),2004,塔楼,2016.02,38383,380,满五年唯一
环科院,1室1厅,54,南 北,中楼层,(共6层),1985,板楼,2016.02,38518,208,满五年唯一
北苑家园莲葩园,2室2厅,109,西 北,高楼层,(共25层),2004,塔楼,2016.02,38532,420,
新街坊,2室1厅,81,东 北,低楼层,(共19层),2004,板塔结合,2016.02,38580,312.5,
华贸城,1室1厅,55,南,中楼层,(共28层),2011,板塔结合,2016.02,38727,213,房本满两年
北京青年城,1室0厅,40,南,低楼层,(共10层),2003,板塔结合,2016.02,38750,155,满五年唯一
北苑6号院,2室1厅,72,南 北,低楼层,(共6层),1996,板楼,2016.02,38888,280,满五年唯一
北苑家园茉藜园,3室2厅,153,南 北,中楼层,(共15层),2004,板塔结合,2016.02,38954,596,满五年唯一
时代庄园,4室2厅,204,南 北,中楼层,(共5层),2003,,2016.02,38970,795,满五年唯一
城市绿洲花园,2室1厅,91,东 北,高楼层,(共9层),2005,板塔结合,2016.02,39010,355,满五年唯一
北京青年城,2室1厅,103,南 北,低楼层,(共6层),2004,板楼,2016.02,39029,402,满五年唯一
北苑家园茉藜园,1室1厅,66,东 南,中楼层,(共26层),2004,塔楼,2016.02,39090,258,满五年唯一
华贸城,1室0厅,52,东 南,中楼层,(共17层),2011,板塔结合,2016.02,39230,204,房本满两年
北苑家园望春园,1室1厅,70,东 南,低楼层,(共25层),2008,板塔结合,2016.02,39285,275,房本满两年
拂林园,4室2厅,173,东 南 北,高楼层,(共14层),2000,板塔结合,2016.02,39306,680,
城锦苑,1室1厅,62,南,中楼层,(共14层),2014,板楼,2016.02,39354,244,距5号线北苑路北854米
北苑家园绣菊园,2室1厅,80,南,低楼层,(共25层),2000,塔楼,2016.02,39375,315,满五年唯一
时代庄园,4室2厅,199,南 北,中楼层,(共5层),2003,,2016.02,39698,790,满五年唯一
华贸城,2室2厅,94,东南,中楼层,(共27层),2011,板楼,2016.02,39893,375,朝阳外国语分校
北苑家园望春园,1室1厅,66,东 南,中楼层,(共25层),2008,板塔结合,2016.02,39998,264,距5号线立水桥南720米
北苑家园茉藜园,2室1厅,99,南 西,低楼层,(共26层),2005,塔楼,2016.02,40000,396,满五年唯一
北苑家园清友园,2室2厅,95,南 西,低楼层,(共25层),2002,塔楼,2016.02,40000,380,满五年唯一
黄金苑,2室1厅,72,南 北,低楼层,(共6层),1998,板楼,2016.02,40000,288,满五年唯一
新街坊,1室1厅,58,东,中楼层,(共18层),2004,板塔结合,2016.02,40327,233.9,房本满两年
新街坊,1室2厅,73,南 西,高楼层,(共19层),2004,板塔结合,2016.02,40547,296,满五年唯一
北苑家园茉藜园,3室2厅,127,南 北,高楼层,(共15层),2004,板塔结合,2016.02,40856,519,满五年唯一
天居园,1室0厅,55,东 北,中楼层,(共32层),2008,塔楼,2016.02,40909,225,
天畅园,1室1厅,89,东,高楼层,(共33层),2008,塔楼,2016.02,41011,365,满五年唯一
北苑家园望春园,2室1厅,97,南,中楼层,(共20层),2008,板塔结合,2016.02,41134,399,满五年唯一
城市绿洲花园,3室1厅,140,南 北,中楼层,(共9层),2005,板塔结合,2016.02,41142,576,满五年唯一
天居园,2室1厅,75,西,高楼层,(共32层),2008,塔楼,2016.02,41600,312,满五年唯一
北苑家园望春园,1室1厅,67,南 西,高楼层,(共25层),2008,板塔结合,2016.02,41791,280,距5号线立水桥南720米
天畅园,1室0厅,50,东 北,高楼层,(共32层),2008,塔楼,2016.02,41800,209,满五年唯一
天居园,2室2厅,110,东 北,高楼层,(共32层),2008,塔楼,2016.02,42090,463,满五年唯一
北苑家园望春园,2室1厅,80,南,高楼层,(共20层),2008,板塔结合,2016.02,42125,337,房本满两年
新街坊,1室1厅,42,西,低楼层,(共18层),2004,板塔结合,2016.02,42142,177,满五年唯一
北苑家园紫绶园,2室2厅,70,南 北,高楼层,(共13层),2001,板楼,2016.02,42142,295,满五年唯一
天居园,2室1厅,110,东 北,中楼层,(共32层),2008,塔楼,2016.02,42181,464,满五年唯一
北苑家园望春园,2室2厅,106,南 北,低楼层,(共14层),2008,板楼,2016.02,42452,450,
天居园,2室1厅,109,西 北,中楼层,(共32层),2008,塔楼,2016.02,42660,465,满五年唯一
天畅园,2室1厅,98,西北,中楼层,(共11层),2008,板塔结合,2016.02,42857,420,满五年唯一
北苑家园望春园,2室1厅,95,南 西,高楼层,(共25层),2008,塔楼,2016.02,42894,407.5,房本满两年
美立方,2室1厅,53,东 西,低楼层,(共13层),2011,板塔结合,2016.02,43018,228,距5号线立水桥南575米
拂林园,3室2厅,153,南 西 北,高楼层,(共14层),2000,板塔结合,2016.02,43071,659,满五年唯一
北苑家园望春园,2室1厅,109,南 北,中楼层,(共14层),2008,板楼,2016.02,43119,470,
山水欧雷山二期,4室2厅,242,南 北,高楼层,(共12层)板楼,距13,号线北苑900米,2016.02,43181,1045,
拂林园,1室1厅,102,东 南,低楼层,(共30层),2003,塔楼,2016.02,43333,442,满五年唯一
北苑家园望春园,2室1厅,109,南 北,低楼层,(共14层),2008,板楼,2016.02,43394,473,满五年唯一
天居园,1室1厅,64,东,中楼层,(共11层),2008,板楼,2016.02,43593,279,满五年唯一
天居园,1室2厅,75,西,低楼层,(共32层),2008,塔楼,2016.02,44000,330,满五年唯一
天居园,1室1厅,74,南,高楼层,(共32层),2008,塔楼,2016.02,44189,327,房本满两年
拂林园,3室2厅,152,西 南,高楼层,(共30层),2003,塔楼,2016.02,44210,672,房本满两年
天居园,2室1厅,105,东 南,中楼层,(共32层),2008,塔楼,2016.02,44285,465,满五年唯一
天居园,1室1厅,74,南,高楼层,(共32层),2008,塔楼,2016.02,44594,330,满五年唯一
筑华年,2室2厅,92,南,中楼层,(共28层),2012,板楼,2016.02,44891,413,距13号线北苑868米
天居园,2室0厅,75,西,中楼层,(共32层),2008,塔楼,2016.02,44933,337,满五年唯一
上元君庭,3室2厅,133,南 北,低楼层,(共32层),2007,板楼,2016.02,45037,599,满五年唯一
北苑家园望春园,1室1厅,66,西南,高楼层,(共25层),2008,板塔结合,2016.02,45303,299,满五年唯一
筑华年,2室2厅,86,南 北,高楼层,(共28层),2012,板楼,2016.02,45348,390,距5号线北苑路北913米
筑华年,2室1厅,87,南 西 北,中楼层,(共28层),2010,板楼,2016.02,45402,395,房本满两年
上元君庭,1室0厅,50,北,高楼层,(共27层),2006,板楼,2016.02,46000,230,满五年唯一
上元君庭,1室0厅,50,北,高楼层,(共27层),2006,板楼,2016.02,46000,230,房本满两年
筑华年,2室1厅,84,南,高楼层,(共28层),2012,板楼,2016.02,46428,390,距13号线北苑868米
北苑家园望春园,1室1厅,71,东南,低楼层,(共25层),2008,塔楼,2016.02,46478,330,
华发颐园,3室2厅,138,南 北,中楼层,(共11层),2007,板楼,2016.02,47101,650,满五年唯一
华贸城,3室2厅,154,南 北,中楼层,(共27层),2010,板楼,2016.02,47207,727,房本满两年
美立方,2室1厅,53,东 西,低楼层,(共13层),2011,板塔结合,2016.02,48113,255,距5号线立水桥南575米
筑华年,3室2厅,91,东南,高楼层,(共28层),2012,板楼,2016.02,48681,443,房本满两年
华发颐园,3室2厅,154,南 北,低楼层,(共11层),2007,板楼,2016.02,48701,750,距5号线立水桥南246米
北苑家园望春园,1室1厅,71,东南,低楼层,(共25层),2008,塔楼,2016.02,49295,350,满五年唯一
筑华年,3室2厅,98,南 北,中楼层,(共26层),2012,板楼,2016.02,49591,486,房本满两年
润泽公馆一期,1室1厅,61,南,高楼层,(共24层),2013,板楼,2016.02,50000,305,朝阳实验小学润泽校区
天润福熙大道,5室2厅,226,南 北,低楼层,(共31层),2014,板楼,2016.02,50000,1130,房本满两年
山水蓝维,1室1厅,65,南,低楼层,(共7层),2004,板楼,2016.02,50000,325,满五年唯一
山水蓝维,3室2厅,153,南 北,中楼层,(共7层),2004,板楼,2016.02,50326,770,满五年唯一
中国铁建国际城,3室2厅,128,南 西 北,中楼层,(共21层),2011,板楼,2016.02,50781,650,房本满两年
筑华年,3室2厅,97,南 北,低楼层,(共26层),2012,板楼,2016.02,50824,493,
中国铁建国际城,2室1厅,61,东北,低楼层,(共28层),2011,板楼,2016.02,51065,311.5,朝阳外国语分校
上元君庭,1室2厅,77,南 北,中楼层,(共27层),2006,板楼,2016.02,51623,397.5,房本满两年
华贸城,1室1厅,53,西,高楼层,(共17层),2011,板塔结合,2016.02,51886,275,房本满两年
中国铁建国际城,2室1厅,79,南,低楼层,(共21层),2011,板楼,2016.02,52151,412,房本满两年
中国铁建国际城,2室1厅,91,南,低楼层,(共28层),2011,板楼,2016.02,52747,480,房本满两年
万科星园,1室1厅,65,东 南,低楼层,(共28层),2004,塔楼,2016.02,53076,345,距5号线北苑路北427米
上元君庭,2室1厅,80,南,高楼层,(共27层),2006,板楼,2016.02,53750,430,满五年唯一
上元君庭,1室1厅,77,南 北,高楼层,(共27层),2006,板楼,2016.02,53896,415,满五年唯一
万科星园,2室2厅,107,东南,中楼层,(共28层),2003,塔楼,2016.02,54205,580,满五年唯一
华贸城,1室1厅,53,东,低楼层,(共17层),2011,板塔结合,2016.02,54339,288,朝阳外国语分校
华贸城,2室1厅,69,东 西 北,中楼层,(共17层),2012,板塔结合,2016.02,54492,376,房本满两年
润泽悦溪,2室2厅,89,东南,高楼层,(共12层),2010,板塔结合,2016.02,54831,488,满五年唯一
华贸城,2室1厅,53,西 南,中楼层,(共17层),2011,板塔结合,2016.02,55094,292,房本满两年
华贸城,1室1厅,52,东,中楼层,(共18层),2012,板塔结合,2016.02,55384,288,
万科星园,2室1厅,97,东南,中楼层,(共21层),2002,塔楼,2016.02,55463,538,满五年唯一
润泽悦溪,2室2厅,88,南 北,中楼层,(共11层),2010,板楼,2016.02,55681,490,朝阳实验小学润泽校区
亚奥金茂悦,3室2厅,156,西 南 北,低楼层,(共10层),2014,板楼,2016.02,56089,875,
中国铁建花语城,2室2厅,89,南 北,低楼层,(共24层),2012,板楼,2016.02,56179,500,房本满两年
华贸城,2室1厅,95,南,高楼层,(共27层),2010,板楼,2016.02,56631,538,满五年唯一
华贸城,2室1厅,52,西 南,低楼层,(共18层),2012,板塔结合,2016.02,56730,295,朝阳外国语分校
华贸城,2室2厅,94,南,低楼层,(共28层),2012,板楼,2016.02,57340,539,房本满两年
华贸城,1室1厅,53,西,高楼层,(共17层),2011,板塔结合,2016.02,57547,305,房本满两年
中国铁建国际城,2室2厅,91,南,高楼层,(共28层),2011,板楼,2016.02,58241,530,房本满两年
润泽悦溪,2室2厅,89,南 北,低楼层,(共10层),2010,板楼,2016.02,58426,520,房本满两年
华贸城,1室1厅,52,东,高楼层,(共18层),2012,板塔结合,2016.02,58653,305,房本满两年
华贸城,2室1厅,65,南 北,中楼层,(共17层),2012,板塔结合,2016.02,58769,382,房本满两年
华贸城,2室2厅,95,南,高楼层,(共27层),2010,板楼,2016.02,58947,560,满五年唯一
华贸城,3室2厅,66,西南,高楼层,(共17层),2012,板塔结合,2016.02,60757,401,房本满两年
华贸城,2室1厅,66,南 北,中楼层,(共18层),2012,板塔结合,2016.02,61363,405,房本满两年
润泽悦溪,3室2厅,152,南 北,高楼层,(共11层),2010,板楼,2016.02,63486,965,满五年唯一
华贸城,2室2厅,66,南 北,中楼层,(共18层),2012,板塔结合,2016.02,65909,435,房本满两年
润泽悦溪,2室2厅,89,南 北,高楼层,(共12层),2010,板楼,2016.02,81460,725,满五年唯一
润泽悦溪,2室2厅,84,南 北,低楼层,(共11层),2010,板楼,2016.02,86547,727,房本满两年
旭辉奥都,1室1厅,60,西,高楼层,(共24层),2008,板塔结合,2016.01,20333,122,房本满两年
乐想汇,1室0厅,72,南,中楼层,(共18层),2013,塔楼,2016.01,21805,157,距13号线北苑868米
旭辉奥都,1室1厅,58,东 南,低楼层,(共24层),2008,板塔结合,2016.01,22758,132,距5号线立水桥南273米
乐想汇,1室0厅,81,西南,低楼层,(共18层),2013,塔楼,2016.01,23148,187.5,距13号线北苑868米
乐想汇,1室1厅,52,东,中楼层,(共18层),2013,塔楼,2016.01,23230,120.8,距13号线北苑868米
旭辉奥都,1室0厅,60,西 北,高楼层,(共24层),2008,板塔结合,2016.01,23333,140,距5号线立水桥南273米
乐想汇,1室0厅,52,东,中楼层,(共18层),2013,塔楼,2016.01,24807,129,距13号线北苑868米
北苑家园绣菊园,3室1厅,114,东 南 北,高楼层,(共25层),2001,塔楼,2016.01,26315,300,房本满两年
美立方,2室2厅,77,南,中楼层,(共20层),2011,板塔结合,2016.01,26363,203,距5号线立水桥南509米
n次方,1室1厅,67,西,低楼层,(共18层),2014,塔楼,2016.01,26567,178,距5号线立水桥903米
旭辉奥都,1室0厅,50,西,高楼层,(共10层),2008,板塔结合,2016.01,27000,135,距5号线立水桥南453米
旭辉奥都,1室1厅,57,西 北,中楼层,(共26层),2008,塔楼,2016.01,27192,155,满五年唯一
美立方,2室1厅,77,南,中楼层,(共20层),2011,板塔结合,2016.01,27272,210,距5号线立水桥南509米
天怡家园,3室2厅,156,南 西 北,低楼层,(共20层),2006,塔楼,2016.01,27564,430,满五年唯一
旭辉奥都,2室1厅,89,南,高楼层,(共27层),2008,板塔结合,2016.01,27865,248,距5号线立水桥南366米
旭辉奥都,1室1厅,57,西 北,低楼层,(共26层),2008,塔楼,2016.01,27894,159,距5号线立水桥南386米
旭辉奥都,1室1厅,48,东,中楼层,(共26层),2008,塔楼,2016.01,28125,135,距5号线立水桥南492米
旭辉奥都,1室1厅,59,东 北,高楼层,(共26层),2008,塔楼,2016.01,28305,167,距5号线立水桥南492米
北苑家园清友园,2室2厅,111,东 南,低楼层,(共25层),2003,塔楼,2016.01,28378,315,房本满两年
美立方,2室1厅,84,南 西,低楼层,(共13层),2011,板塔结合,2016.01,28571,240,距5号线立水桥南449米
北苑家园绣菊园,3室1厅,107,东 北,中楼层,(共25层),2000,塔楼,2016.01,28598,306,满五年唯一
北京青年城,1室1厅,96,南,低楼层,(共11层),2005,板楼,2016.01,28958,278,满五年唯一
北苑家园绣菊园,3室2厅,138,东 南 西 北,高楼层,(共25层),2001,塔楼,2016.01,28985,400,满五年唯一
旭辉奥都,1室1厅,55,东北,低楼层,(共26层),2008,塔楼,2016.01,29000,159.5,距5号线立水桥南421米
北苑家园绣菊园,2室1厅,111,南 西,低楼层,(共25层),2001,塔楼,2016.01,29009,322,
北苑家园绣菊园,3室2厅,153,南 北,高楼层,(共14层),2001,板楼,2016.01,29411,450,
北苑家园绣菊园,2室2厅,111,西 南,低楼层,(共25层),2001,塔楼,2016.01,29684,329.5,满五年唯一
北苑家园茉藜园,1室1厅,70,南 北,高楼层,(共18层),2005,板塔结合,2016.01,29714,208,房本满两年
北苑家园清友园,2室2厅,111,东 南,高楼层,(共25层),2002,塔楼,2016.01,29819,331,房本满两年
北京青年城,2室2厅,99,西 北,中楼层,(共11层),2005,板塔结合,2016.01,29898,296,房本满两年
北苑家园茉藜园,3室2厅,116,南 北,高楼层,(共15层),2004,板塔结合,2016.01,29913,347,房本满两年
北京青年城,3室2厅,147,南 北,高楼层,(共6层),2004,板楼,2016.01,29931,440,满五年唯一
北苑家园紫绶园,2室1厅,80,东 北,高楼层,(共25层),1998,塔楼,2016.01,30000,240,房本满两年
北苑家园莲葩园,2室1厅,126,西 南,低楼层,(共25层),2004,塔楼,2016.01,30000,378,满五年唯一
朝来绿色家园广华居,3室2厅,149,东 南 北,高楼层,(共23层),2004,塔楼,2016.01,30201,450,满五年唯一
新街坊,2室1厅,88,西北,低楼层,(共15层),2005,板塔结合,2016.01,30227,266,房本满两年
北苑家园莲葩园,2室2厅,109,南 西 北,高楼层,(共25层),2004,塔楼,2016.01,30275,330,房本满两年
美立方,1室1厅,45,南,中楼层,(共13层),2011,板塔结合,2016.01,30444,137,距5号线立水桥南449米
北苑家园茉藜园,3室2厅,134,东 南 北,低楼层,(共25层),2004,塔楼,2016.01,30597,410,满五年唯一
天怡家园,2室1厅,76,西,高楼层,(共20层),2005,塔楼,2016.01,30657,233,房本满两年
鑫兆丽园,2室2厅,89,东 西,低楼层,(共6层),2001,板楼,2016.01,30674,273,
旭辉奥都,2室1厅,88,南 北,中楼层,(共27层),2008,板塔结合,2016.01,30681,270,满五年唯一
旭辉奥都,2室1厅,88,南 北,低楼层,(共27层),2008,板塔结合,2016.01,30681,270,距5号线立水桥南329米
北苑家园绣菊园,3室1厅,153,南 北,高楼层,(共14层),2001,板楼,2016.01,30718,470,满五年唯一
旭辉奥都,2室1厅,93,西南,中楼层,(共26层),2008,塔楼,2016.01,30752,286,距5号线立水桥南459米
美立方,1室0厅,45,南,中楼层,(共13层),2011,板塔结合,2016.01,30777,138.5,距5号线立水桥南449米
天畅园,1室1厅,85,东北,中楼层,(共33层),2008,塔楼,2016.01,31176,265,房本满两年
